"Game","ReleaseDate","Genre","TotalEarnings","OnlineEarnings","TotalPlayers","TotalTournaments"
"Age of Empires","1997","Strategy",190075.61,33235.72,246,95
"Age of Empires II","1999","Strategy",1425482.01,808422.14,811,513
"Age of Empires III","2005","Strategy",66463.85,24963.85,86,72
"Age of Empires Online","2011","Strategy",1800,1800,11,5
"Age of Mythology","2002","Strategy",52360,360,22,6
"Auto Chess","2019","Strategy",1076322.28,40800,72,6
"Brawl Stars","2018","Strategy",94950,8700,51,10
"Chess.com","2007","Strategy",735990.96,735990.96,542,139
"chess24","2014","Strategy",634696.09,634696.09,55,7
"Clash of Clans","2012","Strategy",751576.87,0,77,3
"Clash Royale","2016","Strategy",2293020.39,65109.29,222,39
"Command & Conquer 3","2007","Strategy",53086.67,0,9,8
"Company of Heroes 2","2013","Strategy",8561.22,605,11,6
"ComPet","2016","Strategy",2000,2000,50,1
"Dota Underlords","2019","Strategy",26024.18,26024.18,62,36
"Endgods","2015","Strategy",0,0,0,0
"Farming Simulator 19","2018","Strategy",158361.3,38915.49,84,12
"Grey Goo","2015","Strategy",36400,6000,18,5
"Lichess","2010","Strategy",404525,404525,72,51
"osu!","2007","Strategy",23100,23100,971,7
"Playchess.com","2002","Strategy",25136.16,25136.16,87,7
"Pokémon VGC","2017","Strategy",211500,0,170,24
"Prophecy","2020","Strategy",13000,13000,27,4
"Rise of Nations: Rise of Legends","2006","Strategy",69600,0,8,1
"Sea of Thieves","2016","Strategy",0,0,0,0
"StarCraft II","2010","Strategy",33322573.08,4635613.75,2064,5871
"StarCraft: Brood War","1998","Strategy",8251181.43,320362.11,674,571
"Super Mario Party","2018","Strategy",220,0,4,1
"Supreme Commander","2007","Strategy",4901.26,0,0,1
"Supreme Commander: Forged Alliance","2007","Strategy",1290.01,0,0,1
"Teamfight Tactics","2019","Strategy",604313.65,369063.65,143,13
"TEPPEN","2019","Strategy",456721.47,0,12,1
"UNO","2016","Strategy",20000,20000,16,2
"WarCraft III","2002","Strategy",5811479.73,772608.87,558,1335
"WarCraft III: Reforged","2020","Strategy",89667.43,64667.43,55,50
"Warhammer 40,000: Dawn of War","2005","Strategy",79816.5,0,7,3
"Warhammer 40,000: Dawn of War II","2009","Strategy",0,0,0,0
"Warparty","2019","Strategy",1000,1000,4,1
"Windjammers","1994","Strategy",4132.16,0,31,10
"World in Conflict","2007","Strategy",293338.23,0,38,11
"World of Tanks","2010","Strategy",3656496.59,58464.87,403,50
"World of Tanks Blitz","2016","Strategy",63330,3330,14,6
"Aliens versus Predator 2","2001","First-Person Shooter",40000,0,1,1
"Battalion 1944","2018","First-Person Shooter",185654.67,55790.79,114,21
"Battlefield 1","2016","First-Person Shooter",0,0,0,0
"Battlefield 2","2005","First-Person Shooter",91715.22,0,0,12
"Battlefield 2142","2006","First-Person Shooter",18546.14,0,0,4
"Battlefield 3","2011","First-Person Shooter",25407.46,0,5,7
"Battlefield 4","2013","First-Person Shooter",245766.46,33226.15,204,145
"Battlefield 5","2018","First-Person Shooter",0,0,0,0
"Battlefield Hardline","2015","First-Person Shooter",13463.28,0,20,1
"Big Buck Hunter Arcade","2016","First-Person Shooter",76200,0,3,1
"Black Squad","2017","First-Person Shooter",8480.72,8480.72,57,17
"Borderlands 3","2019","First-Person Shooter",0,0,0,0
"Call of Duty","2003","First-Person Shooter",50629.77,0,51,3
"Call of Duty 2","2005","First-Person Shooter",66828.51,5953.8,41,17
"Call of Duty 4: Modern Warfare","2007","First-Person Shooter",420331.47,32402.16,422,86
"Call of Duty: Advanced Warfare","2014","First-Person Shooter",2608808.93,344172.79,784,404
"Call of Duty: Black Ops","2010","First-Person Shooter",375793.48,28824.3,118,23
"Call of Duty: Black Ops 2","2012","First-Person Shooter",1467139.25,37067.62,184,53
"Call of Duty: Black Ops 4","2018","First-Person Shooter",7264452,321377,437,81
"Call of Duty: Black Ops III","2015","First-Person Shooter",3939783.29,156706.27,420,78
"Call of Duty: Ghosts","2013","First-Person Shooter",1594185.25,89712.36,199,76
"Call of Duty: Infinite Warfare","2016","First-Person Shooter",4156205.06,106350,341,80
"Call of Duty: Mobile","2019","First-Person Shooter",0,0,0,0
"Call of Duty: Modern Warfare","2019","First-Person Shooter",1737284.5,1093722,245,37
"Call of Duty: Modern Warfare 2","2009","First-Person Shooter",112860.64,61850,59,18
"Call of Duty: Modern Warfare 3","2011","First-Person Shooter",1160815.66,15860,209,45
"Call of Duty: Warzone","2020","First-Person Shooter",1116163.37,1116163.37,327,52
"Call of Duty: World War II","2017","First-Person Shooter",4559271,60666,266,64
"Counter-Strike","2000","First-Person Shooter",13492961.87,713229.74,4137,994
"Counter-Strike Online","2016","First-Person Shooter",406989.6,0,70,12
"Counter-Strike: Condition Zero","2004","First-Person Shooter",162150.6,0,111,3
"Counter-Strike: Global Offensive","2012","First-Person Shooter",99258929.93,23854990.09,12947,5109
